CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
87,52,Female,2,82.74,Month-to-Month,Fiber Optic,165.48,Yes,Yes
88,45,Male,15,65.38,Month-to-Month,DSL,980.7,Yes,No
89,35,Female,60,58.01,One-Year,DSL,3480.6,No,No
90,48,Female,0,83.4,Two-Year,Fiber Optic,0.0,Yes,No
91,43,Male,8,51.91,Month-to-Month,DSL,415.28,No,No
92,53,Female,5,76.01,Month-to-Month,DSL,380.05,Yes,No
93,33,Male,6,76.98,One-Year,Fiber Optic,461.88,No,Yes
94,38,Male,57,50.71,Two-Year,DSL,2890.47,No,No
95,37,Male,15,85.5,Month-to-Month,Fiber Optic,1282.5,Yes,No
96,24,Female,15,67.93,Month-to-Month,DSL,1018.95,Yes,No
97,45,Female,34,67.86,One-Year,DSL,2307.24,Yes,No
98,45,Female,4,74.06,Month-to-Month,Fiber Optic,296.24,No,Yes
99,42,Male,16,79.69,Month-to-Month,Fiber Optic,1275.04,No,Yes
100,39,Male,13,44.98,One-Year,DSL,584.74,No,No
101,25,Female,21,45.15,One-Year,DSL,948.15,No,No
102,36,Female,72,86.36,One-Year,Fiber Optic,6217.92,Yes,No
103,37,Female,35,64.17,One-Year,DSL,2245.95,Yes,No
104,32,Female,12,63.52,One-Year,DSL,762.24,Yes,No
105,40,Female,42,61.16,Month-to-Month,DSL,2568.72,Yes,No
106,46,Male,4,45.1,Month-to-Month,None,180.4,Yes,No
107,64,Male,0,74.74,Month-to-Month,Fiber Optic,0.0,No,No
108,44,Male,5,78.27,Month-to-Month,Fiber Optic,391.35,No,No
109,45,Female,9,71.58,One-Year,Fiber Optic,644.22,No,No
110,41,Male,17,80.4,Two-Year,Fiber Optic,1366.8,Yes,No
111,18,Male,22,72.8,Two-Year,Fiber Optic,1601.6,No,No
112,41,Male,57,65.02,One-Year,Fiber Optic,3706.14,No,No
113,42,Male,17,57.68,Month-to-Month,DSL,980.56,No,No
114,71,Male,16,81.64,Month-to-Month,Fiber Optic,1306.24,Yes,Yes
115,39,Female,1,77.23,Two-Year,Fiber Optic,77.23,Yes,No
116,45,Male,0,79.74,One-Year,Fiber Optic,0.0,Yes,Yes
117,41,Female,19,89.21,One-Year,Fiber Optic,1694.99,Yes,No
118,27,Female,13,51.94,One-Year,DSL,675.22,No,No
119,55,Female,43,85.44,One-Year,Fiber Optic,3673.92,Yes,No
120,51,Female,4,76.02,Two-Year,Fiber Optic,304.08,Yes,No
121,51,Female,0,28.5,Month-to-Month,None,0.0,No,No
122,31,Male,14,48.62,One-Year,DSL,680.68,No,No
123,58,Male,6,69.23,Two-Year,Fiber Optic,415.38,No,No
124,25,Female,1,70.04,Month-to-Month,Fiber Optic,70.04,No,No
125,49,Female,30,49.07,One-Year,None,1472.1,Yes,No
126,68,Female,2,81.62,Month-to-Month,Fiber Optic,163.24,Yes,No
127,30,Male,22,77.37,Two-Year,Fiber Optic,1702.14,Yes,Yes
128,35,Female,7,83.39,Month-to-Month,Fiber Optic,583.73,No,No
129,43,Male,4,69.18,One-Year,Fiber Optic,276.72,No,Yes
130,35,Female,11,38.43,Month-to-Month,None,422.73,Yes,No
131,23,Male,38,53.29,One-Year,DSL,2025.02,No,No
132,42,Female,11,67.62,Month-to-Month,DSL,743.82,Yes,Yes
133,29,Male,33,25.82,Month-to-Month,None,852.06,No,No
134,47,Female,3,84.52,Month-to-Month,Fiber Optic,253.56,Yes,Yes
135,30,Male,35,93.46,Two-Year,Fiber Optic,3271.1,Yes,No
136,60,Male,6,73.74,Month-to-Month,Fiber Optic,442.44,No,No
137,32,Male,27,45.37,Month-to-Month,DSL,1224.99,No,No
138,38,Male,20,78.35,One-Year,Fiber Optic,1567.0,No,No
139,51,Male,63,93.06,Month-to-Month,Fiber Optic,5862.78,Yes,No
140,27,Male,11,59.55,Two-Year,DSL,655.05,Yes,No
141,44,Male,1,65.33,Month-to-Month,DSL,65.33,Yes,No
142,57,Female,0,31.7,One-Year,None,0.0,No,No
143,22,Female,42,53.77,Month-to-Month,DSL,2258.34,No,No
144,44,Female,17,20.37,Month-to-Month,None,346.29,No,No
145,45,Female,35,74.99,One-Year,DSL,2624.65,Yes,No
146,51,Female,6,69.19,One-Year,Fiber Optic,415.14,No,No
147,27,Male,10,35.6,One-Year,None,356.0,No,No
148,26,Male,0,81.39,Month-to-Month,Fiber Optic,0.0,No,Yes
149,48,Male,72,84.99,Month-to-Month,Fiber Optic,6119.28,Yes,Yes
150,45,Male,26,80.17,Month-to-Month,Fiber Optic,2084.42,No,No
151,45,Male,64,46.57,Two-Year,DSL,2980.48,No,No
152,46,Female,7,45.67,Month-to-Month,DSL,319.69,No,No
153,33,Female,22,27.88,Month-to-Month,None,613.36,No,Yes
154,44,Female,27,91.99,Month-to-Month,Fiber Optic,2483.73,Yes,No
155,45,Female,9,69.05,One-Year,Fiber Optic,621.45,No,No
156,33,Male,45,73.46,Month-to-Month,Fiber Optic,3305.7,No,No
157,64,Male,70,68.15,Two-Year,DSL,4770.5,Yes,No
158,47,Male,51,70.53,Month-to-Month,DSL,3597.03,Yes,No
159,27,Female,32,77.21,Two-Year,Fiber Optic,2470.72,Yes,No
160,49,Male,7,78.51,Month-to-Month,Fiber Optic,549.57,No,No
161,30,Female,7,86.44,One-Year,Fiber Optic,605.08,Yes,No
162,51,Male,72,20.0,Two-Year,None,1440.0,No,No
163,55,Male,0,72.14,Month-to-Month,DSL,0.0,Yes,Yes
164,32,Female,30,69.26,Two-Year,Fiber Optic,2077.8,No,No
165,53,Male,29,70.1,Month-to-Month,DSL,2032.9,Yes,Yes
166,46,Male,23,85.01,Two-Year,Fiber Optic,1955.23,Yes,No
167,51,Female,72,49.06,One-Year,DSL,3532.32,No,No
168,64,Male,8,31.68,Month-to-Month,None,253.44,No,No
169,39,Female,9,62.17,Month-to-Month,DSL,559.53,Yes,No
170,32,Male,1,47.04,Month-to-Month,None,47.04,Yes,No
171,31,Male,14,99.77,Month-to-Month,Fiber Optic,1396.78,Yes,No
172,32,Male,7,25.03,Month-to-Month,None,175.21,No,No
173,41,Male,10,71.2,Month-to-Month,Fiber Optic,712.0,No,No
174,46,Male,43,26.45,Month-to-Month,None,1137.35,No,No
175,45,Male,65,52.87,One-Year,DSL,3436.55,No,No
176,51,Male,4,69.68,Month-to-Month,Fiber Optic,278.72,No,Yes
177,42,Male,11,47.11,Month-to-Month,None,518.21,Yes,No
178,59,Female,63,56.27,One-Year,DSL,3545.01,No,No
179,38,Female,1,57.67,Month-to-Month,DSL,57.67,No,No
180,74,Male,2,81.16,Month-to-Month,Fiber Optic,162.32,Yes,No
181,49,Male,4,49.98,Month-to-Month,None,199.92,Yes,No
182,31,Female,21,85.22,Two-Year,Fiber Optic,1789.62,Yes,Yes
183,29,Male,3,84.74,Two-Year,Fiber Optic,254.22,Yes,No
184,47,Male,72,56.86,Month-to-Month,DSL,4093.92,No,Yes
185,39,Female,14,53.3,One-Year,DSL,746.2,No,No
186,50,Male,16,35.16,Month-to-Month,None,562.56,No,No
187,47,Male,6,61.39,One-Year,DSL,368.34,No,No
188,41,Female,15,66.72,One-Year,Fiber Optic,1000.8,No,No
189,31,Male,26,33.62,One-Year,None,874.12,No,No
190,23,Male,33,69.57,Month-to-Month,DSL,2295.81,Yes,Yes
191,36,Female,33,89.35,Month-to-Month,Fiber Optic,2948.55,Yes,No
192,52,Male,20,47.32,Month-to-Month,DSL,946.4,No,Yes
193,44,Female,56,79.72,Two-Year,Fiber Optic,4464.32,Yes,No
194,27,Male,40,61.76,One-Year,DSL,2470.4,Yes,No
195,44,Male,33,65.41,Two-Year,Fiber Optic,2158.53,No,Yes
196,46,Female,1,44.56,Two-Year,DSL,44.56,No,No
197,31,Female,0,87.76,Month-to-Month,Fiber Optic,0.0,Yes,No
198,43,Male,5,69.32,One-Year,Fiber Optic,346.6,No,Yes
199,42,Female,26,52.71,One-Year,DSL,1370.46,No,No
200,28,Female,12,73.73,Two-Year,Fiber Optic,884.76,Yes,No
201,46,Male,12,56.5,Two-Year,DSL,678.0,Yes,No
202,48,Male,51,72.97,One-Year,Fiber Optic,3721.47,No,No
203,54,Male,54,66.01,Month-to-Month,DSL,3564.54,Yes,No
204,54,Female,57,90.6,One-Year,Fiber Optic,5164.2,Yes,No
205,25,Female,9,56.13,Month-to-Month,DSL,505.17,No,Yes
206,30,Female,28,74.13,One-Year,Fiber Optic,2075.64,No,No
207,48,Female,7,69.35,Two-Year,DSL,485.45,Yes,No
208,48,Male,5,88.45,Month-to-Month,Fiber Optic,442.25,Yes,No
209,48,Female,4,63.77,One-Year,DSL,255.08,Yes,No
210,80,Male,10,34.36,Month-to-Month,None,343.6,No,No
211,48,Female,13,47.55,Month-to-Month,None,618.15,Yes,No
212,55,Male,42,54.06,Month-to-Month,DSL,2270.52,No,No
213,53,Male,3,77.86,One-Year,Fiber Optic,233.58,No,No
214,49,Male,31,62.04,Two-Year,DSL,1923.24,Yes,No
215,38,Female,18,67.65,Two-Year,Fiber Optic,1217.7,No,No
216,51,Male,8,75.11,Month-to-Month,Fiber Optic,600.88,No,Yes
217,32,Male,16,63.29,Two-Year,Fiber Optic,1012.64,No,No
218,39,Female,8,85.87,One-Year,Fiber Optic,686.96,Yes,Yes
219,36,Male,21,61.98,Month-to-Month,DSL,1301.58,No,No
220,42,Female,13,77.22,Month-to-Month,Fiber Optic,1003.86,No,No
221,69,Female,4,55.16,Month-to-Month,DSL,220.64,No,No
222,19,Male,2,80.27,Two-Year,Fiber Optic,160.54,Yes,No
223,50,Male,18,72.82,One-Year,Fiber Optic,1310.76,No,No
224,22,Female,55,89.06,One-Year,Fiber Optic,4898.3,Yes,Yes
225,36,Male,10,73.05,Month-to-Month,DSL,730.5,Yes,No
226,55,Female,31,50.67,One-Year,DSL,1570.77,No,No
227,42,Female,25,56.62,Month-to-Month,DSL,1415.5,No,No
228,29,Female,64,57.4,Month-to-Month,DSL,3673.6,No,No
229,33,Male,41,47.47,One-Year,DSL,1946.27,No,No
230,50,Female,20,30.84,Month-to-Month,None,616.8,No,No
231,33,Male,25,30.77,Two-Year,None,769.25,Yes,No
232,44,Male,54,77.41,Month-to-Month,Fiber Optic,4180.14,No,No
233,42,Male,12,88.64,One-Year,Fiber Optic,1063.68,Yes,No
234,34,Male,9,73.74,Month-to-Month,DSL,663.66,Yes,No
235,67,Female,0,26.62,One-Year,None,0.0,No,Yes
236,49,Male,42,56.55,Month-to-Month,DSL,2375.1,No,No
237,18,Female,38,37.12,Month-to-Month,None,1410.56,No,No
238,44,Female,2,73.86,Two-Year,Fiber Optic,147.72,No,No
239,34,Male,20,69.85,Month-to-Month,DSL,1397.0,Yes,Yes
240,52,Female,14,41.13,Two-Year,None,575.82,Yes,No
241,32,Female,3,54.5,Two-Year,DSL,163.5,No,No
242,40,Male,72,82.5,Month-to-Month,Fiber Optic,5940.0,Yes,No
243,48,Female,5,88.38,Month-to-Month,Fiber Optic,441.9,Yes,Yes
244,52,Female,1,58.59,One-Year,DSL,58.59,No,No
245,27,Female,21,85.39,Two-Year,Fiber Optic,1793.19,Yes,No
246,37,Female,32,82.66,Two-Year,Fiber Optic,2645.12,Yes,No
247,36,Male,0,67.47,Month-to-Month,Fiber Optic,0.0,No,No
248,34,Female,25,52.01,One-Year,DSL,1300.25,No,No
249,63,Female,18,27.05,Month-to-Month,None,486.9,No,No
250,46,Female,2,50.99,Two-Year,DSL,101.98,No,No
251,26,Female,4,45.86,Two-Year,DSL,183.44,No,No
252,53,Male,20,49.87,Month-to-Month,DSL,997.4,No,No
253,67,Female,8,44.68,Month-to-Month,DSL,357.44,No,No
254,54,Male,66,76.11,Month-to-Month,DSL,5023.26,Yes,No
255,23,Female,40,43.0,Month-to-Month,None,1720.0,Yes,No
256,36,Male,72,50.21,Two-Year,DSL,3615.12,No,No
257,57,Male,7,54.99,Month-to-Month,DSL,384.93,No,No
258,33,Male,72,49.66,Month-to-Month,DSL,3575.52,No,No
259,47,Male,13,68.7,Month-to-Month,Fiber Optic,893.1,No,Yes
260,51,Male,10,22.48,Two-Year,None,224.8,No,No
261,30,Female,1,48.81,One-Year,DSL,48.81,No,No
262,41,Female,1,56.83,Month-to-Month,DSL,56.83,No,No
263,18,Female,28,66.02,Month-to-Month,DSL,1848.56,Yes,Yes
264,29,Male,14,57.36,Two-Year,DSL,803.04,No,No
265,38,Female,6,67.62,Two-Year,DSL,405.72,Yes,No
266,27,Male,22,79.04,Month-to-Month,Fiber Optic,1738.88,No,No
267,61,Male,6,54.4,Month-to-Month,DSL,326.4,No,No
268,24,Female,20,82.57,Month-to-Month,Fiber Optic,1651.4,No,Yes
269,36,Female,10,53.91,Month-to-Month,DSL,539.1,No,No
270,43,Male,41,28.35,One-Year,None,1162.35,No,No
271,59,Male,41,41.26,Two-Year,None,1691.66,Yes,No
272,24,Female,15,93.51,Month-to-Month,Fiber Optic,1402.65,Yes,No
273,55,Female,10,70.37,Two-Year,Fiber Optic,703.7,No,No
274,42,Female,10,72.62,Month-to-Month,Fiber Optic,726.2,No,Yes
275,30,Female,39,68.72,One-Year,Fiber Optic,2680.08,No,No
276,47,Male,9,88.54,One-Year,Fiber Optic,796.86,Yes,Yes
277,44,Female,5,78.58,Month-to-Month,Fiber Optic,392.9,No,No
278,34,Female,2,28.03,Month-to-Month,None,56.06,No,No
279,42,Female,15,20.96,One-Year,None,314.4,No,No
280,37,Male,15,53.96,Month-to-Month,DSL,809.4,No,Yes
281,43,Male,44,78.12,Month-to-Month,Fiber Optic,3437.28,No,Yes
282,49,Male,6,64.03,Month-to-Month,DSL,384.18,No,No
283,61,Male,11,44.11,Two-Year,DSL,485.21,No,No
284,27,Female,39,72.87,Month-to-Month,Fiber Optic,2841.93,No,Yes
285,67,Male,41,61.25,Two-Year,DSL,2511.25,Yes,No
286,18,Female,11,36.78,Month-to-Month,None,404.58,No,No
287,40,Female,14,66.33,One-Year,DSL,928.62,Yes,No
288,49,Female,8,81.19,One-Year,Fiber Optic,649.52,Yes,No
289,45,Female,64,70.01,Two-Year,Fiber Optic,4480.64,No,No
290,34,Male,3,87.98,Month-to-Month,Fiber Optic,263.94,Yes,No
291,39,Male,65,65.43,One-Year,Fiber Optic,4252.95,No,No
292,36,Male,27,24.26,One-Year,None,655.02,No,No
293,34,Female,18,83.67,Month-to-Month,Fiber Optic,1506.06,No,Yes
294,52,Female,0,76.92,Month-to-Month,Fiber Optic,0.0,No,Yes
295,46,Female,15,70.54,Month-to-Month,DSL,1058.1,Yes,Yes
296,33,Female,12,73.75,Month-to-Month,Fiber Optic,885.0,No,No
297,52,Female,4,41.81,Two-Year,None,167.24,Yes,No
298,45,Male,25,76.4,Month-to-Month,Fiber Optic,1910.0,No,Yes
299,51,Female,72,31.46,Month-to-Month,None,2265.12,No,Yes
300,49,Male,19,86.05,One-Year,Fiber Optic,1634.95,Yes,Yes
301,32,Female,30,59.34,Month-to-Month,DSL,1780.2,No,Yes
302,35,Female,1,55.12,Month-to-Month,DSL,55.12,No,No
303,50,Male,12,50.11,Month-to-Month,DSL,601.32,No,No
304,49,Male,2,64.74,Two-Year,Fiber Optic,129.48,No,No
305,41,Female,22,72.09,Two-Year,Fiber Optic,1585.98,Yes,No
306,43,Female,66,58.62,Two-Year,DSL,3868.92,No,No
307,57,Female,26,79.31,Month-to-Month,Fiber Optic,2062.06,No,No
308,34,Female,1,67.31,One-Year,Fiber Optic,67.31,No,Yes
309,48,Male,10,88.59,Month-to-Month,Fiber Optic,885.9,Yes,No
310,39,Female,19,51.82,Month-to-Month,DSL,984.58,No,No
311,39,Male,12,77.71,Month-to-Month,DSL,932.52,Yes,No
312,55,Female,43,59.76,One-Year,DSL,2569.68,Yes,No
313,51,Male,40,55.57,Month-to-Month,DSL,2222.8,No,No
314,51,Male,22,54.46,Month-to-Month,DSL,1198.12,No,No
315,57,Female,11,59.13,Month-to-Month,DSL,650.43,No,Yes
316,42,Male,7,74.48,Month-to-Month,Fiber Optic,521.36,No,Yes
317,50,Female,2,43.9,One-Year,DSL,87.8,No,No
318,38,Male,10,43.74,Month-to-Month,None,437.4,Yes,Yes
319,45,Female,12,47.63,One-Year,DSL,571.56,No,No
320,40,Male,27,70.4,Month-to-Month,DSL,1900.8,Yes,No
321,43,Female,25,73.95,Two-Year,Fiber Optic,1848.75,No,No
322,49,Female,1,58.24,One-Year,DSL,58.24,Yes,No
323,32,Male,12,41.0,Month-to-Month,None,492.0,Yes,Yes
324,67,Male,4,52.24,Month-to-Month,DSL,208.96,No,Yes
325,29,Male,4,40.94,One-Year,None,163.76,Yes,No
326,27,Male,42,43.83,Two-Year,None,1840.86,Yes,No
327,55,Female,1,74.13,Month-to-Month,Fiber Optic,74.13,No,No
328,51,Male,13,92.08,Month-to-Month,Fiber Optic,1197.04,Yes,No
329,49,Female,4,78.18,Two-Year,Fiber Optic,312.72,Yes,No
330,49,Male,50,86.59,One-Year,Fiber Optic,4329.5,Yes,No
331,41,Female,19,78.89,Month-to-Month,Fiber Optic,1498.91,No,No
332,31,Female,6,51.34,Month-to-Month,DSL,308.04,No,No
333,42,Female,16,58.91,Month-to-Month,DSL,942.56,No,No
334,33,Female,31,71.5,One-Year,Fiber Optic,2216.5,No,Yes
335,53,Male,72,95.23,Month-to-Month,Fiber Optic,6856.56,Yes,No
336,40,Male,5,26.09,Two-Year,None,130.45,No,No
337,32,Female,52,71.91,Month-to-Month,DSL,3739.32,Yes,No
338,38,Male,65,29.8,Month-to-Month,None,1937.0,No,No
339,46,Male,59,51.79,One-Year,DSL,3055.61,No,No
340,35,Female,24,68.67,Two-Year,Fiber Optic,1648.08,No,No
341,32,Male,23,65.42,Two-Year,DSL,1504.66,Yes,No
342,44,Male,12,83.75,Month-to-Month,Fiber Optic,1005.0,Yes,No
343,44,Male,33,59.06,One-Year,DSL,1948.98,No,No
344,35,Female,18,76.67,One-Year,Fiber Optic,1380.06,Yes,No
345,36,Male,27,26.58,Month-to-Month,None,717.66,No,Yes
346,44,Female,13,74.53,Month-to-Month,Fiber Optic,968.89,No,No
347,24,Male,31,77.06,Month-to-Month,Fiber Optic,2388.86,No,No
348,25,Male,41,52.88,Month-to-Month,None,2168.08,Yes,No
349,33,Male,3,59.14,Two-Year,Fiber Optic,177.42,No,No
350,39,Female,42,72.46,Month-to-Month,Fiber Optic,3043.32,No,No
351,45,Female,18,39.93,Two-Year,DSL,718.74,No,No
352,59,Male,44,45.16,Month-to-Month,None,1987.04,Yes,Yes
353,52,Female,13,86.79,One-Year,Fiber Optic,1128.27,Yes,No
354,40,Male,11,77.95,Month-to-Month,DSL,857.45,Yes,No
355,41,Female,59,70.6,Month-to-Month,DSL,4165.4,Yes,No
356,29,Female,6,35.22,Month-to-Month,None,211.32,No,No
357,41,Male,44,57.92,Month-to-Month,DSL,2548.48,No,Yes
358,38,Male,15,40.68,One-Year,None,610.2,Yes,No
359,45,Male,17,47.96,Month-to-Month,DSL,815.32,No,No
360,32,Male,8,86.81,One-Year,Fiber Optic,694.48,Yes,Yes
361,48,Female,20,82.54,Month-to-Month,Fiber Optic,1650.8,Yes,No
362,60,Female,9,96.48,Month-to-Month,Fiber Optic,868.32,Yes,Yes
363,40,Female,0,44.19,Month-to-Month,None,0.0,Yes,No
364,46,Male,7,72.88,Two-Year,Fiber Optic,510.16,No,No
365,50,Male,0,83.22,One-Year,Fiber Optic,0.0,Yes,No
366,37,Female,72,56.34,Month-to-Month,DSL,4056.48,No,Yes
367,44,Male,72,56.05,Month-to-Month,DSL,4035.6,No,No
368,42,Female,12,54.77,Month-to-Month,DSL,657.24,No,No
369,43,Female,31,79.05,Two-Year,Fiber Optic,2450.55,Yes,No
370,32,Female,10,68.36,One-Year,DSL,683.6,Yes,No
371,42,Female,26,65.37,Month-to-Month,DSL,1699.62,Yes,No
372,47,Female,39,65.51,One-Year,Fiber Optic,2554.89,No,No
373,59,Male,70,96.21,Month-to-Month,Fiber Optic,6734.7,Yes,No
374,53,Male,12,70.77,Two-Year,Fiber Optic,849.24,No,No
375,67,Male,36,55.33,Month-to-Month,DSL,1991.88,No,No
376,32,Female,7,60.16,One-Year,DSL,421.12,No,No
377,52,Female,72,28.66,Month-to-Month,None,2063.52,No,No
378,44,Female,0,72.78,One-Year,DSL,0.0,Yes,No
379,68,Female,22,29.33,One-Year,None,645.26,No,No
380,32,Male,25,23.63,One-Year,None,590.75,No,Yes
381,31,Male,27,80.03,One-Year,Fiber Optic,2160.81,No,Yes
382,34,Female,3,53.96,Two-Year,DSL,161.88,No,No
383,18,Female,66,29.39,Month-to-Month,None,1939.74,No,No
384,35,Female,4,93.64,Month-to-Month,Fiber Optic,374.56,Yes,Yes
385,32,Male,23,87.98,Month-to-Month,Fiber Optic,2023.54,Yes,No
386,43,Male,6,66.73,Two-Year,DSL,400.38,Yes,No
387,46,Male,8,58.04,Month-to-Month,DSL,464.32,Yes,No
388,64,Female,18,61.66,One-Year,DSL,1109.88,Yes,No
389,53,Female,12,75.9,One-Year,Fiber Optic,910.8,No,No
390,35,Male,4,73.75,Month-to-Month,Fiber Optic,295.0,No,Yes
391,31,Female,4,76.04,Month-to-Month,Fiber Optic,304.16,No,No
392,47,Male,12,68.27,Month-to-Month,Fiber Optic,819.24,No,Yes
393,26,Female,33,84.24,Month-to-Month,Fiber Optic,2779.92,No,No
394,63,Male,54,95.95,Month-to-Month,Fiber Optic,5181.3,Yes,No
395,56,Female,2,44.0,Month-to-Month,None,88.0,Yes,No
396,36,Male,11,47.68,Two-Year,DSL,524.48,No,No
397,21,Male,2,85.63,Two-Year,Fiber Optic,171.26,Yes,No
